//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
408.11;159.18;23.80;0.21;0.675400;-0.248332;0.694381
408.51;159.88;23.45;0.14;0.915014;-0.126737;0.382997
402.84;146.41;26.33;0.17;0.633073;-0.410417;0.656335
409.14;161.33;22.47;0.18;0.949684;-0.095888;0.298172
406.78;155.37;25.23;0.05;0.363568;-0.242869;0.899351
406.58;154.88;25.18;0.04;0.192512;-0.289461;0.937631
409.10;161.08;22.69;0.15;0.944564;-0.060898;0.322629
408.27;159.02;23.37;0.23;0.813162;-0.317370;0.487897
408.52;159.58;23.31;0.07;0.885998;-0.160434;0.435050
403.55;147.88;25.61;0.22;0.907375;-0.418275;-0.041427
408.65;159.95;22.93;0.20;0.838365;-0.040319;0.543616
408.61;160.05;23.23;0.13;0.902134;-0.047056;0.428883
409.24;161.74;22.57;0.15;0.905994;-0.133856;0.401568
403.70;148.57;26.23;0.10;0.996024;-0.040276;-0.079464
406.79;155.90;25.44;0.23;0.342114;-0.259889;0.903004
408.41;160.06;23.71;0.21;0.826160;-0.179077;0.534220
410.32;165.18;20.89;0.07;0.873386;-0.091713;0.478316
408.46;160.42;23.72;0.10;0.904705;-0.235311;0.355159
410.35;165.50;20.83;0.19;0.860518;-0.074400;0.503958
408.48;160.67;23.41;0.24;0.972496;-0.148735;0.179244
403.11;147.71;26.98;0.08;0.744492;-0.348727;0.569317
402.88;147.21;26.94;0.14;0.680133;-0.395503;0.617249
408.91;161.81;23.09;0.16;0.890715;-0.087543;0.446052
403.21;148.04;26.99;0.11;0.834186;-0.287382;0.470686
410.39;165.82;20.93;0.08;0.888128;-0.084782;0.451708
409.03;162.29;22.79;0.24;0.884896;-0.082219;0.458474
407.04;157.10;25.57;0.21;0.641646;-0.179171;0.745780
403.30;148.33;27.03;0.06;0.899245;-0.119618;0.420773
406.88;156.84;25.66;0.12;0.457835;-0.328823;0.825992
407.07;157.41;25.64;0.14;0.652010;-0.216299;0.726703
402.43;146.62;26.88;0.15;0.613055;-0.449351;0.649805
410.35;166.16;20.94;0.11;0.887198;-0.182101;0.423932
409.80;164.64;22.07;0.16;0.570095;-0.147361;0.808255
409.86;164.93;22.16;0.17;0.570316;-0.154180;0.806826
