//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
402.49;150.15;28.86;0.47;0.548372;-0.362869;0.753401
393.34;149.48;40.01;0.56;0.803345;-0.236824;0.546398
388.70;149.45;43.94;0.65;0.499100;-0.420553;0.757650
404.53;150.00;25.39;0.26;0.423472;-0.482333;0.766828
393.94;149.26;39.66;0.37;0.467746;-0.406243;0.784972
393.59;149.29;39.68;0.56;0.633168;-0.261836;0.728382
389.90;149.25;42.86;0.65;0.414130;-0.472595;0.777914
388.17;149.25;44.20;0.69;0.559945;-0.348951;0.751462
401.97;149.61;29.13;0.56;0.691898;-0.172593;0.701062
393.39;149.10;39.86;0.48;0.812590;-0.186124;0.552319
390.15;149.05;42.67;0.57;0.238469;-0.515400;0.823101
388.67;149.06;43.72;0.66;0.458840;-0.439245;0.772353
385.51;149.05;46.19;1.86;0.603543;-0.256860;0.754823
401.31;149.45;29.50;0.85;0.665553;-0.240732;0.706461
388.92;148.88;43.38;0.71;0.495771;-0.351372;0.794197
386.10;146.85;44.76;1.17;0.712958;-0.130036;0.689044
401.93;147.72;28.14;0.37;-0.061429;-0.610008;0.790010
391.16;146.76;41.31;0.58;0.231267;-0.563424;0.793139
403.88;147.91;24.51;0.39;0.922784;-0.057093;0.381063
400.09;147.32;29.67;0.93;0.786865;-0.184160;0.589007
388.56;146.20;42.55;0.67;0.544749;-0.362624;0.756144
389.05;146.05;41.95;0.97;0.634511;-0.293963;0.714829
404.03;147.26;23.99;0.27;0.797346;-0.309110;0.518354
388.92;145.61;41.99;1.23;0.600220;-0.292907;0.744272
386.52;145.55;43.62;0.90;0.679987;-0.095462;0.726984
400.23;146.39;29.29;0.64;0.591950;-0.368944;0.716572
394.87;145.67;37.03;0.37;-0.657322;0.223271;-0.719776
389.77;145.44;41.15;1.81;0.429888;-0.482194;0.763338
399.96;146.19;29.30;0.76;0.797595;-0.295347;0.525939
400.07;146.00;29.10;0.70;0.816415;-0.283630;0.503012
388.41;144.96;41.96;1.81;0.422738;-0.451893;0.785548
387.33;144.72;42.51;1.79;0.566650;-0.469701;0.676971
401.34;145.53;27.28;0.74;0.399966;-0.368596;0.839145
399.93;145.38;28.96;0.62;0.812743;-0.269874;0.516349
401.87;146.99;27.72;0.32;0.597438;-0.380188;0.706063
402.30;148.94;28.47;0.41;0.535454;-0.357508;0.765165
402.22;149.91;28.99;0.52;0.558398;-0.329890;0.761160
401.85;147.39;27.88;0.44;0.537901;-0.457965;0.707764
397.91;144.34;32.33;1.10;0.607869;-0.506838;0.611237
401.98;148.89;28.59;0.57;0.491638;-0.335714;0.803485
397.56;144.26;32.75;0.92;0.714156;-0.517722;0.471110
404.32;150.11;25.62;0.42;0.216562;0.736933;0.640337
401.69;160.44;33.47;1.32;0.758579;-0.188495;0.623721
394.25;149.86;39.80;0.27;0.211625;-0.600891;0.770808
391.52;146.40;40.87;1.00;-0.015229;-0.605013;0.796070
390.88;145.62;40.73;1.78;0.387194;-0.487638;0.782489
391.51;146.68;41.03;0.68;0.037727;-0.582673;0.811830
390.89;146.50;41.14;0.86;0.350478;-0.494510;0.795377
401.39;162.63;34.68;1.17;0.787135;-0.097844;0.608971
393.77;150.95;40.72;0.34;0.140189;-0.538621;0.830804
393.58;150.72;40.66;0.41;0.183279;-0.487253;0.853811
390.87;146.97;41.41;0.42;0.243537;-0.488605;0.837828
393.29;150.63;40.61;0.61;0.359054;-0.438140;0.824083
393.36;150.94;40.72;0.58;0.183674;-0.494277;0.849679
389.49;145.69;41.34;1.54;0.411666;-0.443953;0.795887
389.26;145.53;41.55;1.54;0.597041;-0.284987;0.749883
393.45;151.53;41.14;0.40;-0.098938;-0.526238;0.844562
393.07;151.11;40.83;0.74;0.363820;-0.385680;0.847872
390.08;146.92;41.69;0.56;0.450224;-0.437222;0.778547
389.10;145.73;41.72;1.31;0.607996;-0.243512;0.755674
390.98;148.25;42.11;0.27;-0.104630;-0.357373;0.928082
393.54;151.93;41.49;0.26;-0.270820;-0.475096;0.837222
388.63;145.65;42.14;1.17;0.492375;-0.417129;0.763918
392.93;151.84;41.33;0.70;0.435085;-0.287494;0.853258
393.21;152.35;41.32;0.71;-0.073401;-0.623185;0.778622
401.17;164.85;35.19;1.29;0.815925;-0.006834;0.578118
390.13;148.02;42.16;0.59;0.546909;-0.418030;0.725356
388.86;146.27;42.25;0.72;0.645179;-0.326652;0.690683
401.95;166.22;34.31;1.29;0.818085;-0.144019;0.556773
401.54;165.59;34.77;1.32;0.783360;-0.148284;0.603622
392.93;152.14;41.39;0.75;0.340921;-0.500978;0.795483
388.34;145.62;42.42;1.05;0.434362;-0.421444;0.796062
389.71;147.07;42.07;0.53;0.130240;-0.450831;0.883057
388.48;145.23;42.08;1.55;0.438586;-0.461412;0.771194
393.50;152.22;41.42;0.41;-0.343132;-0.606579;0.717162
388.67;145.43;41.95;1.43;0.500184;-0.428026;0.752735
